id,key,value,type
253912901,created_by,JOSM,regular
253912927,created_by,JOSM,regular
253912970,created_by,JOSM,regular
253913033,created_by,JOSM,regular
253916889,created_by,JOSM,regular
253923657,created_by,JOSM,regular
253923776,created_by,JOSM,regular
253923888,created_by,JOSM,regular
253924036,created_by,JOSM,regular
253924154,created_by,JOSM,regular
254073049,created_by,JOSM,regular
254073049,is_in,"Johor Bahru, Johor, Malaysia",regular
254073049,name,Tanjung Pelepas,regular
254073049,place,hamlet,regular
254074057,created_by,JOSM,regular
254074057,is_in,"Batu Pahat, Johor, Malaysia",regular
254074057,country,Malaysia,is_in
254074057,state,Johor,is_in
254074057,name,Simpang Enam,regular
254074057,place,hamlet,regular
254652241,created_by,JOSM,regular
254668819,created_by,JOSM,regular
256107631,created_by,JOSM,regular
256107709,created_by,JOSM,regular
256107809,created_by,JOSM,regular
256107862,created_by,JOSM,regular
260320279,created_by,JOSM,regular
260320340,created_by,JOSM,regular
260320408,created_by,JOSM,regular
260320556,created_by,JOSM,regular
260320759,created_by,JOSM,regular
260320843,created_by,JOSM,regular
260320879,created_by,JOSM,regular
260320967,created_by,JOSM,regular
260321093,created_by,JOSM,regular
260321147,created_by,JOSM,regular
260321212,created_by,JOSM,regular
260321379,created_by,JOSM,regular
260321443,created_by,JOSM,regular
260321504,created_by,JOSM,regular
260329153,created_by,JOSM,regular
260329170,created_by,JOSM,regular
260329186,created_by,JOSM,regular
260329213,created_by,JOSM,regular
260329744,created_by,JOSM,regular
260330464,created_by,JOSM,regular
260704023,created_by,JOSM,regular
260704051,created_by,JOSM,regular
260705046,created_by,JOSM,regular
260705466,created_by,JOSM,regular
260705529,created_by,JOSM,regular
260705657,created_by,JOSM,regular
260705670,created_by,JOSM,regular
260705688,created_by,JOSM,regular
260705805,created_by,JOSM,regular
260705818,created_by,JOSM,regular
260705831,created_by,JOSM,regular
260705850,created_by,JOSM,regular
260705863,created_by,JOSM,regular
260705876,created_by,JOSM,regular
260706360,created_by,JOSM,regular
260706374,created_by,JOSM,regular
260706387,created_by,JOSM,regular
260706403,created_by,JOSM,regular
260706417,created_by,JOSM,regular
260706430,created_by,JOSM,regular
260706443,created_by,JOSM,regular
260706456,created_by,JOSM,regular
260706469,created_by,JOSM,regular
260706823,created_by,JOSM,regular
260706864,created_by,JOSM,regular
260706880,created_by,JOSM,regular
260706903,created_by,JOSM,regular
260706922,created_by,JOSM,regular
260706967,created_by,JOSM,regular
260707002,created_by,JOSM,regular
260707622,created_by,JOSM,regular
260707637,created_by,JOSM,regular
260783227,created_by,JOSM,regular
290398255,highway,motorway_junction,regular
290398255,ref,312C,regular
305640047,dsg,STRT,gns
305640047,uni,-107606,gns
305640047,name,Main Strait,regular
305640047,natural,strait,regular
305640047,place,locality,regular
305640047,source,GNS,regular
319829992,created_by,JOSM,regular
319830014,created_by,JOSM,regular
319830039,created_by,JOSM,regular
319830133,created_by,JOSM,regular
319830161,created_by,JOSM,regular
319830174,created_by,JOSM,regular
337171064,highway,traffic_signals,regular
337172045,created_by,JOSM,regular
337172707,created_by,JOSM,regular
344489773,created_by,JOSM,regular
344751888,name,Kempas Baru,regular
344751888,railway,station,regular
366652998,highway,motorway_junction,regular
366652998,ref,14,regular
367330912,highway,turning_circle,regular
368249892,created_by,Potlatch 0.10f,regular
368249892,operator,7-11,regular
368249892,shop,convenience,regular
368261001,amenity,coffeeshop,regular
368261001,created_by,Potlatch 0.10f,regular
368261001,operator,NTUC Foodfare,regular
369128171,name,NTUC Fairprice,regular
369128171,shop,supermarket,regular
369128171,wheelchair,yes,regular
369132824,amenity,place_of_worship,regular
369132824,created_by,Potlatch 0.10f,regular
369132824,name,Church of Christ - Lavender,regular
369132824,religion,christian,regular
370273221,amenity,restaurant,regular
370273221,created_by,Potlatch 0.10f,regular
370273221,name,Bali Culture Restaurant,regular
371383029,amenity,parking,regular
371383029,created_by,Potlatch 0.10f,regular
387133091,name,Mountbatten,regular
387133091,railway,station,regular
387133091,ref,CC7,regular
388553160,name,Telok Blangah,regular
388553160,railway,station,regular
388553160,ref,CC28,regular
391190166,name,Renjong,regular
391190166,railway,station,regular
391190166,ref,SW8,regular
391291499,amenity,coffeeshop,regular
392680156,created_by,JOSM,regular
410458896,asset_ref,41121,regular
410458896,highway,bus_stop,regular
410458896,location,Adam Road,regular
410458896,name,Singapore Bible College,regular
410458896,route_ref,74;93;157;165;852;855,regular
410458924,asset_ref,58201,regular
